Date,Building,Chilled Water (kWh),Cooling (kWh),Domestic Cold Water (m3),Electricity (kWh),Heating (kWh),Heating Water (kWh),Natural Gas (kWh)
2018-10-31,B1,,"5,313.38",15.84,"13,574.39","12,397.23",,"1,127.78"
2018-10-31,B2,,"4,589.49",77.94,"12,552.13","38,313.92",,"2,436.11"
2018-10-31,B3,0,,66.7,"7,275.62",,"7,838.90",0
2018-10-31,B4,0,,34.9,"9,445.23",,"7,241.67",0
2018-10-31,B5,712.16,,36.85,"2,084.81",,"1,375.00",0
2018-10-31,B6,0,,5.7,"3,931.37",,"13,897.23",127.78
2018-11-01,B1,,"5,823.32",19.64,"13,240.00","13,280.57",,0
2018-11-01,B2,,"4,668.62",70.55,"12,358.01","41,186.14",,"2,327.78"
2018-11-01,B3,0,,62.7,"7,069.12",,"10,205.56",0
2018-11-01,B4,0,,34.3,"9,238.19",,"7,975.01",0
2018-11-01,B5,325.31,,26.1,"2,095.54",,"1,391.67",0
2018-11-01,B6,0,,8.2,"3,913.30",,"14,747.23",134.73
2018-11-02,B1,,"5,738.33",12.48,"11,285.85","14,811.12",,0
2018-11-02,B2,,"4,771.20",72.22,"12,248.63","42,166.70",,"2,219.45"
2018-11-02,B3,0,,55.7,"5,538.89",,"11,205.56",0
2018-11-02,B4,0,,27,"6,992.05",,"7,330.56",0
2018-11-02,B5,293.07,,25.82,"2,090.91",,"1,461.11",0
2018-11-02,B6,0,,5.6,"3,383.81",,"14,780.57",141.67
2018-11-03,B1,,"5,366.13",3.19,"12,006.54","13,183.34",,0
2018-11-03,B2,,"4,023.87",56.14,"9,562.22","29,133.36",,"2,097.22"
2018-11-03,B3,0,,37.3,"6,241.51",,"7,900.01",0
2018-11-03,B4,0,,4.7,"6,804.31",,"5,180.56",0
2018-11-03,B5,662.34,,26.4,"2,253.12",,"1,133.33",0
2018-11-03,B6,0,,0.6,"3,426.82",,"13,933.34",152.78
2018-11-04,B1,,"5,653.34",0.19,"13,164.00","14,141.68",,0
2018-11-04,B2,,"4,580.70",52.23,"9,693.60","30,236.14",,"2,155.56"
2018-11-04,B3,0,,38.3,"7,344.19",,"9,419.45",0
2018-11-04,B4,0,,1.6,"9,654.19",,"5,241.67",0
2018-11-04,B5,556.84,,26.09,"2,122.16",,"1,391.67",0
2018-11-04,B6,0,,0.4,"3,976.74",,"13,061.12",161.11
2018-11-05,B1,,"5,544.90",19.51,"13,511.28","19,547.24",,0
2018-11-05,B2,,"5,169.77",78.93,"12,511.85","48,002.82",,"2,208.34"
2018-11-05,B3,0,,67.6,"7,422.05",,"13,677.79",0
2018-11-05,B4,0,,33.4,"9,918.60",,"9,191.67",0
2018-11-05,B5,164.12,,33.25,"2,053.77",,"2,975.00",0
2018-11-05,B6,0,,8.3,"3,978.61",,"16,655.57",300.0
2018-11-06,B1,,"5,058.41",11.1,"13,230.99","22,169.46",,0
2018-11-06,B2,,"5,574.21",84.52,"12,072.10","50,775.04",,"2,269.45"
